test_type,configuration,L_corr_C_m,lambda_B_km,lambda_C_km,rel_diff
Resampling step ds,ds = 50 m,225.0,16.1,9.1,< +-3%
Resampling step ds,ds = 100 m (Baseline),240.0,16.2,9.2,Baseline
Resampling step ds,ds = 200 m,265.0,16.4,9.3,< +-4%
Smoothing window W,W = 300 m (3 ds),210.0,16.2,8.9,-6.2%
Smoothing window W,W = 500 m (5 ds),230.0,16.2,9.1,-2.1%
Smoothing window W,"W = 1000 m (10 ds, Baseline)",240.0,16.2,9.2,Baseline
Smoothing window W,W = 1500 m (15 ds),275.0,16.3,9.4,+4.5%
FFT Windowing,Linear detrend (Baseline),,16.2,9.2,Baseline
FFT Windowing,Hann taper,,15.8,9.0,-2.4%
FFT Windowing,Hamming taper,,15.9,9.0,-2.1%
FFT Windowing,2nd-order polynomial detrend,,16.5,9.4,+2.0%
Discharge-induced width perturbation,Wet-width contraction (-25%),,16.2,,0.0%
Discharge-induced width perturbation,Wet-width expansion (+25%),,16.2,,0.0%
Discharge-induced width perturbation,Uniform stage offset (+-50 m),,16.2,,0.0%
Discharge-induced width perturbation,Localized discharge noise (+-25%),,16.2,,< +-1.0%
